Promotion Name: March Digital and Ecommerce,,,"Original Order Start: November 17, 2025",,,,
"Start Date: March 1, 2026",,,"Original Order Deadline: December 19, 2025",,,,
"End Date: March 31, 2026",,,"Reorder Start: February 20, 2026",,,,
Sale Code: GL,,,"Reorder Deadline: April 9, 2026",,,,
Order Link: https://www.membercatalog.com/SearchResults.aspx?query=salecode.text:GL,,,,,,,
SKU,Description,Brand,Vendor Name,Regular Retail,Promo Retail,Promo Member Cost,Instant Rebate Amount
799378,SAT BLSM WHT SPRAY PAINT,Rust-Oleum,RUSTOLEUM,$7.79,$4.99,$4.52,
812282,5OZ ORGINAL JERKY,Iowa Smokehouse,Iowa Smokehouse,$13.99,$11.99,$10.95,
822531,8PK D ALKALINE BATTERY,Duracell,DURACELL,$21.99,$19.99,$17.01,
822582,8PK C ALKALINE BATTERY,Duracell,DURACELL,$21.99,$19.99,$17.01,
822647,4PK 9V ALKALINE BATTERY,Duracell,DURACELL,$21.99,$19.99,$17.01,
822736,16PK AA ALKALINE BATTERY,Duracell,DURACELL,$21.99,$19.99,$16.61,
822760,16PK AAA ALKALIN BATTERY,Duracell,DURACELL,$21.99,$19.99,$16.61,
831288,5OZ SWT KICK JERKY,Iowa Smokehouse,Iowa Smokehouse,$13.99,$11.99,$10.95,
841032,"18"" BLK HRDWD END TABLE",Jack Post,Jackpost Jakarta B,$69.99,$59.99,$47.22,
848592,5OZ CRKD BLKPPR JERKY,Iowa Smokehouse,Iowa Smokehouse,$13.99,$11.99,$10.95,
857329,BLK WNDSR HDWD ARM CHAIR,Jack Post,Jackpost Jakarta B,$139.99,$119.99,$93.06,
711395,15M TURF BUILDER + HALTS,Scotts,SCOTTS COMPANY,$97.99,—,$92.40,$20.00
735965,5M TURF BUILDER + HALTS,Scotts,SCOTTS COMPANY,$39.99,—,$35.83,$10.00
702468,10M TB BONUS S WEED&FEED,Scotts,SCOTTS COMPANY,$69.99,—,$64.82,$10.00
703623,5M BONUS S FL WEED &FEED,Scotts,SCOTTS COMPANY,$43.99,$43.99,$38.29,$5.00
717073,8QT MGO INDR POTTNG MIX,Miracle-Gro,SCOTTS GROWING MEDIA,$7.49,$7.49,$5.49,$2.00
721466,16QT MGO INDR POTTNG MIX,Miracle-Gro,SCOTTS GROWING MEDIA,$11.99,$11.99,$9.04,$5.00
723371,5M STEP1 CRABGRASS+LWN F,Scotts,SCOTTS COMPANY,$44.99,—,$31.03,$25 (Bundle)
723398,5M STEP2 WEED CTRL+LWN F,Scotts,SCOTTS COMPANY,$37.99,$35.00,$29.52,$25 or $40 (Bundle)
723401,5M STEP3 LAWN FD+2% IRON,Scotts,SCOTTS COMPANY,$30.99,$27.00,$23.02,$25 or $40 (Bundle)
723428,5M STEP 4 FALL LAWN FOOD,Scotts,SCOTTS COMPANY,$29.99,$25.99,$21.32,$25 or $40 (Bundle)
723436,5M STEP 1 SEEDING FERT,Scotts,SCOTTS COMPANY,$59.99,$52.00,$47.05,$40 or $90 (Bundle)
723460,5M TB BONUS S WEED &FEED,Scotts,SCOTTS COMPANY,$39.99,$39.99,$35.57,$5.00
731694,15M STEP3 LAWN F+2% IRON,Scotts,SCOTTS COMPANY,$64.99,$59.00,$53.93,$60 or $90 (Bundle)
731701,15M STEP2 WEED CNTRL+LWN,Scotts,SCOTTS COMPANY,$79.99,—,$69.70,$60 or $90 (Bundle)
731710,15M STEP1 CRABGRSS+LWN F,Scotts,SCOTTS COMPANY,$97.99,—,$89.32,$60 (Bundle)
731729,15M STEP4 FALL LAWN FOOD,Scotts,SCOTTS COMPANY,$64.99,$59.99,$51.13,$60 or $90 (Bundle)
757175,8M TB TX WD&FD FOR LAWNS,Scotts,SCOTTS COMPANY,$54.99,$54.99,$50.04,$10.00
